t,cycle,phase,kpa,amp
1.03,1,precharge,0.12,0.0
1.1,1,precharge,0.13,0.0
1.17,1,precharge,0.12,0.0
1.25,1,precharge,0.12,0.0
1.33,1,precharge,0.18,0.0
1.4,1,precharge,0.19,0.0
1.48,1,precharge,0.15,0.0
1.55,1,precharge,0.17,0.0
1.62,1,precharge,0.14,0.0
1.7,1,precharge,0.16,0.0
1.77,1,precharge,0.17,0.0
1.85,1,precharge,0.16,0.0
1.92,1,precharge,0.18,0.0
2.0,1,precharge,0.16,0.0
2.07,1,precharge,0.18,0.0
2.14,1,precharge,0.19,0.0
2.22,1,precharge,0.19,0.0
2.3,1,precharge,0.19,0.0
2.37,1,precharge,0.19,0.0
2.44,1,precharge,0.19,0.0
2.52,1,precharge,0.18,0.0
2.6,1,approach,0.16,0.0
2.65,1,approach,0.16,0.0
2.69,1,approach,0.15,0.0
2.74,1,approach,0.12,0.0
2.78,1,approach,0.13,0.0
2.83,1,approach,0.13,0.0
2.88,1,approach,0.13,0.08
2.93,1,approach,0.17,0.0
2.97,1,approach,0.17,0.08
3.02,1,approach,0.19,0.08
3.07,1,approach,0.16,0.08
3.12,1,approach,0.15,0.08
3.17,1,approach,0.14,0.0
3.21,1,approach,0.11,0.08
3.26,1,approach,0.12,0.0
3.31,1,approach,0.16,0.08
3.36,1,approach,0.12,0.08
3.4,1,approach,0.15,0.0
3.45,1,approach,0.14,0.08
3.5,1,approach,0.11,0.0
3.55,1,approach,0.11,0.08
3.6,1,approach,0.11,0.0
3.64,1,approach,0.12,0.0
3.69,1,approach,0.12,0.08
3.74,1,approach,0.12,0.08
3.79,1,approach,0.12,0.08
3.83,1,approach,0.11,0.08
3.88,1,approach,0.11,0.08
3.93,1,approach,0.11,0.0
3.98,1,approach,0.12,0.16
4.03,1,approach,0.11,0.08
4.08,1,approach,0.11,0.16
4.13,1,approach,0.1,0.08
4.18,1,approach,0.12,0.08
4.22,1,approach,0.12,0.08
4.27,1,approach,0.14,0.08
4.32,1,approach,0.13,0.16
4.37,1,approach,0.11,0.08
4.42,1,approach,0.11,0.08
4.46,1,approach,0.12,0.08
4.51,1,approach,0.11,0.16
4.56,1,approach,0.11,0.08
4.6,1,approach,0.11,0.16
4.65,1,approach,0.12,0.08
4.7,1,approach,0.12,0.16
4.74,1,approach,0.12,0.08
4.79,1,approach,0.1,0.16
4.84,1,approach,0.11,0.08
4.88,1,approach,0.11,0.08
4.93,1,approach,0.11,0.16
4.98,1,press,0.1,0.16
5.03,1,press,0.1,0.24
5.07,1,press,0.11,0.16
5.12,1,press,0.12,0.16
5.17,1,press,0.11,0.08
5.22,1,press,0.13,0.16
5.27,1,press,0.13,0.16
5.32,1,press,0.12,0.16
5.36,1,press,0.12,0.16
5.41,1,press,0.11,0.24
5.46,1,press,0.12,0.16
5.51,1,press,0.11,0.24
5.56,1,press,0.12,0.16
5.61,1,press,0.11,0.24
5.65,1,press,0.12,0.24
5.7,1,press,0.12,0.16
5.75,1,press,0.14,0.24
5.8,1,press,0.1,0.33
5.85,1,press,0.14,0.41
5.89,1,press,0.18,0.24
5.94,1,press,0.18,0.33
6.0,1,press,0.29,0.16
6.05,1,press,0.23,0.24
6.09,1,press,0.2,0.24
6.14,1,press,0.44,0.24
6.19,1,press,0.39,0.33
6.24,1,press,0.27,0.24
6.29,1,press,0.17,0.24
6.34,1,press,0.17,0.24
6.39,1,press,0.18,0.24
6.43,1,press,0.22,0.33
6.48,1,press,0.21,0.65
6.53,1,press,0.27,0.49
6.58,1,press,0.3,0.33
6.62,1,press,0.23,0.49
6.67,1,press,0.16,0.41
6.72,1,press,0.18,0.57
6.77,1,press,0.15,0.41
6.82,1,press,0.14,0.33
6.86,1,press,0.11,0.24
6.91,1,press,0.14,0.57
6.96,1,press,0.16,0.57
7.0,1,press,0.16,0.33
7.05,1,press,0.14,0.33
7.09,1,press,0.15,0.33
7.14,1,press,0.15,0.41
7.18,1,press,0.18,0.33
7.23,1,press,0.18,0.49
7.27,1,press,0.19,0.41
7.32,1,press,0.18,0.24
7.36,1,press,0.15,0.33
7.41,1,press,0.14,0.65
7.45,1,press,0.13,0.49
7.49,1,press,0.15,0.49
7.54,1,press,0.16,0.41
7.59,1,press,-31.81,0.24
7.65,1,press,-51.01,0.24
7.7,1,hold,-64.92,0.16
7.79,1,hold,-69.12,0.24
7.87,1,hold,-68.84,0.24
7.96,1,hold,-68.69,0.24
8.04,1,hold,-68.62,0.16
8.13,1,hold,-68.54,0.24
8.21,1,hold,-68.49,0.16
8.3,1,hold,-68.47,0.16
8.38,1,hold,-68.44,0.24
8.47,1,hold,-68.41,0.16
8.55,1,hold,-68.41,0.33
8.64,1,hold,-68.41,0.24
8.73,1,hold,-68.41,0.24
8.81,1,hold,-68.37,0.16
8.89,1,hold,-68.36,0.24
8.98,1,hold,-68.34,0.24
9.07,1,hold,-68.32,0.24
9.15,1,hold,-68.32,0.24
9.24,1,hold,-68.31,0.24
9.32,1,hold,-68.29,0.24
9.41,1,hold,-68.26,0.33
9.49,1,hold,-68.24,0.33
9.58,1,hold,-68.24,0.33
9.66,1,hold,-68.18,0.33
9.75,1,hold,-68.14,0.33
9.84,1,hold,-68.11,0.33
9.93,1,hold,-68.09,0.41
10.01,1,hold,-68.08,0.33
10.1,1,hold,-68.04,0.33
10.18,1,hold,-68.02,0.33
10.27,1,hold,-68.03,0.24
10.35,1,hold,-68.03,0.41
10.44,1,hold,-68.0,0.41
10.52,1,hold,-67.99,0.24
10.61,1,hold,-67.98,0.33
10.7,1,hold,-67.96,0.33
10.78,1,hold,-67.94,0.33
10.87,1,hold,-67.94,0.33
10.96,1,hold,-67.9,0.33
11.04,1,hold,-67.88,0.41
11.13,1,hold,-67.88,0.41
11.22,1,hold,-67.88,0.33
11.3,1,hold,-67.86,0.33
11.39,1,hold,-67.86,0.49
11.47,1,hold,-67.86,0.33
