t,cycle,phase,kpa,amp
1.03,1,precharge,0.01,0.0
1.1,1,precharge,0.01,0.0
1.17,1,precharge,0.02,0.0
1.25,1,precharge,0.03,0.0
1.32,1,precharge,0.04,0.0
1.4,1,precharge,0.01,0.0
1.48,1,precharge,0.04,0.0
1.55,1,precharge,0.03,0.0
1.62,1,precharge,0.02,0.0
1.7,1,precharge,0.03,0.0
1.77,1,precharge,0.02,0.0
1.85,1,precharge,0.03,0.08
1.92,1,precharge,0.04,0.0
1.99,1,precharge,0.03,0.0
2.07,1,precharge,0.01,0.0
2.14,1,precharge,0.03,0.0
2.22,1,precharge,0.04,0.0
2.29,1,precharge,0.04,0.0
2.37,1,precharge,0.05,0.0
2.44,1,precharge,0.03,0.0
2.52,1,precharge,0.06,0.0
2.59,1,approach,0.07,0.08
2.64,1,approach,0.06,0.08
2.69,1,approach,0.06,0.08
2.74,1,approach,0.06,0.08
2.79,1,approach,0.05,0.0
2.84,1,approach,0.03,0.08
2.88,1,approach,0.04,0.0
2.93,1,approach,0.06,0.08
2.98,1,approach,0.05,0.08
3.02,1,approach,0.05,0.08
3.07,1,approach,0.04,0.08
3.12,1,approach,0.06,0.0
3.17,1,approach,0.06,0.08
3.21,1,approach,0.05,0.08
3.26,1,approach,0.05,0.08
3.31,1,approach,0.06,0.08
3.36,1,approach,0.04,0.08
3.41,1,approach,0.06,0.16
3.46,1,approach,0.05,0.08
3.51,1,approach,0.06,0.0
3.55,1,approach,0.06,0.08
3.6,1,approach,0.04,0.08
3.65,1,approach,0.04,0.08
3.7,1,approach,0.04,0.08
3.75,1,approach,0.06,0.16
3.8,1,approach,0.04,0.0
3.84,1,approach,0.06,0.08
3.89,1,approach,0.06,0.08
3.94,1,approach,0.04,0.08
3.99,1,approach,0.04,0.08
4.04,1,approach,0.03,0.16
4.08,1,approach,0.06,0.08
4.13,1,approach,0.06,0.08
4.18,1,approach,0.06,0.16
4.23,1,approach,0.07,0.08
4.28,1,approach,0.04,0.16
4.33,1,approach,0.04,0.08
4.37,1,approach,0.05,0.08
4.42,1,approach,0.04,0.08
4.46,1,approach,0.06,0.08
4.51,1,approach,0.03,0.16
4.56,1,approach,0.04,0.08
4.61,1,approach,0.05,0.16
4.65,1,approach,0.06,0.0
4.7,1,approach,0.06,0.08
4.75,1,approach,0.04,0.16
4.8,1,approach,0.05,0.08
4.85,1,approach,0.05,0.16
4.89,1,approach,0.04,0.08
4.94,1,approach,0.04,0.24
4.99,1,press,0.05,0.16
5.04,1,press,0.06,0.08
5.09,1,press,0.04,0.16
5.14,1,press,0.05,0.16
5.19,1,press,0.06,0.16
5.24,1,press,0.05,0.16
5.28,1,press,0.02,0.16
5.33,1,press,0.05,0.16
5.37,1,press,0.06,0.16
5.42,1,press,0.04,0.16
5.47,1,press,0.04,0.16
5.52,1,press,0.05,0.33
5.57,1,press,0.06,0.33
5.62,1,press,0.05,0.16
5.67,1,press,0.05,0.41
5.72,1,press,0.05,0.24
5.77,1,press,0.05,0.24
5.82,1,press,0.06,0.24
5.87,1,press,0.05,0.16
5.91,1,press,0.04,0.24
5.96,1,press,0.06,0.41
6.01,1,press,0.04,0.24
6.06,1,press,0.05,0.24
6.11,1,press,0.04,0.24
6.16,1,press,0.04,0.16
6.2,1,press,0.04,0.33
6.25,1,press,0.08,0.33
6.3,1,press,0.06,0.16
6.35,1,press,0.04,0.41
6.39,1,press,0.05,0.24
6.44,1,press,0.05,0.41
6.49,1,press,0.07,0.49
6.53,1,press,0.06,0.33
6.58,1,press,0.05,0.41
6.63,1,press,0.05,0.41
6.68,1,press,0.05,0.24
6.73,1,press,0.04,0.33
6.77,1,press,0.09,0.49
6.82,1,press,0.05,0.49
6.87,1,press,0.05,0.41
6.91,1,press,0.05,0.33
6.96,1,press,0.05,0.33
7.0,1,press,0.04,0.49
7.05,1,press,0.04,0.33
7.09,1,press,0.05,0.41
7.14,1,press,0.06,0.33
7.18,1,press,0.05,0.49
7.23,1,press,0.02,0.24
7.27,1,press,0.03,0.41
7.31,1,press,0.04,0.24
7.36,1,press,0.06,0.24
7.4,1,press,0.04,0.24
7.45,1,press,0.04,0.33
7.49,1,press,0.05,0.49
7.54,1,press,0.04,0.24
7.59,1,press,-31.26,0.16
7.65,1,press,-54.71,0.24
7.7,1,hold,-65.55,0.24
7.79,1,hold,-71.52,0.08
7.87,1,hold,-71.31,0.24
7.96,1,hold,-71.21,0.08
8.04,1,hold,-71.13,0.08
8.13,1,hold,-71.04,0.16
8.21,1,hold,-71.01,0.16
8.3,1,hold,-70.95,0.16
8.38,1,hold,-70.89,0.08
8.47,1,hold,-70.86,0.16
8.56,1,hold,-70.8,0.16
8.64,1,hold,-70.77,0.24
8.73,1,hold,-70.74,0.16
8.81,1,hold,-70.69,0.24
8.9,1,hold,-70.67,0.24
8.98,1,hold,-70.62,0.16
9.07,1,hold,-70.59,0.16
9.15,1,hold,-70.57,0.24
9.24,1,hold,-70.56,0.16
9.33,1,hold,-70.52,0.08
9.41,1,hold,-70.49,0.16
9.5,1,hold,-70.46,0.24
9.58,1,hold,-70.44,0.24
9.67,1,hold,-70.43,0.16
9.76,1,hold,-70.41,0.16
9.84,1,hold,-70.37,0.16
9.93,1,hold,-70.34,0.24
10.02,1,hold,-70.32,0.24
10.1,1,hold,-70.28,0.16
10.19,1,hold,-70.28,0.08
10.27,1,hold,-70.25,0.16
10.36,1,hold,-70.23,0.08
10.44,1,hold,-70.19,0.16
10.53,1,hold,-70.19,0.24
10.61,1,hold,-70.16,0.16
10.7,1,hold,-70.15,0.16
10.79,1,hold,-70.14,0.16
10.87,1,hold,-70.12,0.16
10.96,1,hold,-70.09,0.16
11.05,1,hold,-70.09,0.16
11.13,1,hold,-70.06,0.16
